Outdoors,70.93,14,0.206
Movies,38.4,6,0.168
Games,50.16,10,0.165
Sports,6.22,4,0.742
Industrial,62.91,7,0.217
Games,62.5,10,0.893
Grocery,6.34,8,0.464
Electronics,88.27,18,0.398
Home,91.79,10,0.261
Home,92.37,18,0.574
Games,85.53,14,0.146
Shoes,42.18,8,0.373
Computers,92.39,5,0.323
Garden,46.51,9,0.83
Games,91.8,1,0.866
Electronics,85.07,10,0.216
Grocery,99.55,11,0.884
Books,57.66,13,0.731
Grocery,31.49,7,0.638
Electronics,73.81,4,0.692
Automotive,17.59,2,0.823
Clothing,64.17,2,0.633
Grocery,0.14,16,0.268
Tools,27.31,9,0.404
Automotive,16.96,12,0.486
Automotive,71.95,11,0.768
Garden,46.67,4,0.737
Computers,49.08,5,0.613
Industrial,84.88,1,0.095
Industrial,71.86,1,0.416
Computers,63.95,7,0.841
Health,68.0,14,0.676
Clothing,21.65,5,0.288
Games,42.0,10,0.296
Electronics,16.66,12,0.595
Electronics,71.73,3,0.076
Games,3.63,2,0.619
Computers,36.14,6,0.75
Music,22.46,4,0.538
Music,20.49,20,0.363
Industrial,16.32,17,0.321
Clothing,2.7,9,0.657
Home,74.94,10,0.858
Grocery,11.08,1,0.311
Tools,76.46,9,0.573
Grocery,28.46,5,0.224
Games,63.81,4,0.101
Garden,35.88,1,0.535
Outdoors,77.84,1,0.179
Tools,34.09,14,0.676
Clothing,54.88,8,0.676
Garden,2.42,15,0.108
Electronics,50.26,1,0.716
Automotive,9.9,2,0.332
Books,17.48,3,0.44
Clothing,45.3,14,0.211
Outdoors,2.0,13,0.319
Movies,29.03,19,0.881
Garden,80.32,4,0.729
Electronics,12.93,10,0.841
Shoes,8.05,3,0.393
Health,14.07,4,0.505
Home,5.87,12,0.501
Electronics,7.62,2,0.781
Industrial,61.71,9,0.794
Grocery,79.93,3,0.395
Grocery,10.55,10,0.814
Health,74.86,5,0.471
Toys,9.1,20,0.316
Books,49.37,22,0.761
Outdoors,23.47,6,0.43
Shoes,34.25,9,0.162
Tools,78.77,1,0.382
Computers,42.08,11,0.836
Industrial,49.96,9,0.285
Electronics,68.65,26,0.48
Clothing,58.7,4,0.123
Movies,83.59,9,0.765
Electronics,21.0,16,0.228
Computers,18.15,4,0.628
Electronics,7.09,6,0.617
Home,62.39,25,0.597
Industrial,94.26,1,0.776
Electronics,32.61,10,0.803
Electronics,80.05,4,0.691
Health,81.52,14,0.568
Computers,62.55,13,0.842
Electronics,48.52,6,0.73
Grocery,27.15,7,0.198
Books,59.82,9,0.131
Computers,47.53,9,0.314
Books,3.45,16,0.108
Games,50.07,2,0.15
Computers,35.69,2,0.638
Garden,38.34,19,0.419
Home,70.48,29,0.166
Industrial,97.66,20,0.4
Sports,54.99,3,0.301
Computers,41.25,2,0.872
Computers,79.84,4,0.834
Computers,82.77,3,0.569
Industrial,99.58,7,0.603
Movies,5.19,12,0.787
Music,52.25,22,0.2
Tools,73.79,12,0.406
Industrial,78.59,2,0.228
Toys,15.55,5,0.189
Clothing,32.28,6,0.583
Computers,17.17,10,0.833
Computers,33.52,4,0.835
Outdoors,90.86,8,0.179
Outdoors,78.83,2,0.347
Movies,94.32,9,0.159
Games,25.68,1,0.42
Tools,26.01,18,0.127
Clothing,45.02,8,0.078
Movies,19.54,2,0.135
Games,15.92,3,0.74
Toys,65.34,2,0.747
Garden,60.86,6,0.134
Industrial,91.41,10,0.729
Toys,60.83,17,0.117
Industrial,8.06,12,0.611
Garden,22.78,8,0.836
Electronics,77.31,16,0.576
Grocery,32.08,6,0.655
Electronics,53.36,5,0.677
Automotive,9.65,1,0.066
Clothing,11.43,14,0.139
Electronics,63.08,22,0.608
Tools,68.01,2,0.086
Games,5.65,7,0.283
Clothing,80.33,9,0.261
Books,26.45,1,0.473
Clothing,47.32,2,0.461
Industrial,73.13,10,0.813
Outdoors,93.13,2,0.741
Automotive,1.24,1,0.742
Home,77.68,10,0.471
Computers,98.61,17,0.731
Books,91.24,7,0.396
Tools,38.38,3,0.169
Computers,6.4,15,0.594
Electronics,83.97,17,0.552
Automotive,71.75,6,0.102
Toys,55.78,2,0.276
Electronics,48.52,1,0.422
Movies,72.19,2,0.731
Movies,95.74,12,0.715
Music,50.04,9,0.132
Computers,32.6,10,0.695
Electronics,56.85,11,0.232
Health,60.21,15,0.162
Clothing,90.6,1,0.293
Garden,54.59,7,0.476
Outdoors,76.93,9,0.502
Computers,1.69,10,0.537
Music,92.51,8,0.455
Industrial,9.31,5,0.15
Computers,39.21,6,0.622
Automotive,73.96,11,0.711
Automotive,52.6,8,0.52
Automotive,88.31,14,0.707
Electronics,53.21,12,0.598
Automotive,22.08,19,0.899
Tools,51.78,16,0.818
Sports,53.23,10,0.591
Clothing,72.36,14,0.498
Tools,93.85,20,0.611
Shoes,9.85,5,0.069
Music,77.25,6,0.57
Sports,63.66,12,0.679
Health,22.24,21,0.577
Computers,38.87,12,0.194
Music,73.39,14,0.513
Computers,28.96,13,0.087
Computers,61.86,6,0.384
Tools,67.26,19,0.67
Games,43.82,12,0.124
Automotive,96.08,14,0.084
Movies,17.82,8,0.083
Clothing,38.53,15,0.845
Computers,7.35,8,0.056
Outdoors,70.87,14,0.637
Health,28.28,2,0.637
Electronics,33.18,3,0.501
Games,44.36,1,0.3
Games,8.09,10,0.118
Automotive,59.09,8,0.214
Books,49.33,5,0.126
Computers,79.12,8,0.446
Automotive,33.0,2,0.779
Shoes,3.13,8,0.89
Toys,73.25,1,0.099
Garden,43.19,2,0.523
Garden,71.55,4,0.634
Health,70.43,1,0.835
Books,64.47,3,0.714
Electronics,23.08,4,0.391
Toys,83.23,6,0.658
Computers,45.85,15,0.309
Electronics,93.79,5,0.21
Computers,73.41,4,0.354
Movies,27.76,7,0.755
Sports,69.88,22,0.113
Home,59.54,18,0.522
Clothing,96.86,6,0.635
Movies,86.23,7,0.14
Outdoors,62.53,4,0.466
Movies,13.09,11,0.789
Home,78.16,15,0.694
Music,29.32,7,0.486
Industrial,64.05,25,0.566
Computers,59.62,6,0.429
Industrial,95.15,1,0.093
Computers,39.12,12,0.267
Home,15.57,8,0.629
Industrial,22.58,7,0.143
Sports,19.87,19,0.057
Grocery,79.12,8,0.281
Electronics,39.8,1,0.806
Games,6.86,2,0.375
Toys,52.13,10,0.09
Grocery,85.88,23,0.533
Grocery,23.19,2,0.576
Shoes,24.25,8,0.294
Home,6.63,3,0.6
Home,31.95,8,0.075
Industrial,58.61,3,0.837
Computers,63.43,6,0.436
Electronics,4.07,12,0.173
Sports,71.86,22,0.321
Computers,36.99,2,0.095
Movies,13.6,2,0.16
Grocery,50.92,2,0.107
Movies,64.39,3,0.169
Books,94.46,12,0.547
Electronics,74.72,8,0.325
Electronics,55.19,9,0.732
Electronics,38.11,3,0.486
Grocery,34.81,1,0.789
Games,13.19,9,0.21
Shoes,40.15,17,0.221
Computers,73.34,9,0.141
Tools,20.2,18,0.656
Garden,26.0,31,0.115
Industrial,61.91,29,0.525
Games,43.26,18,0.46
Electronics,94.38,7,0.235
Home,49.63,13,0.814
Electronics,29.11,15,0.336
Health,50.6,5,0.58
Computers,93.02,4,0.408
Movies,24.5,23,0.526
Home,57.51,11,0.783
Movies,88.72,3,0.886
Movies,28.04,6,0.718
Health,53.02,16,0.726
Electronics,40.25,2,0.506
Tools,76.71,16,0.576
Computers,32.18,14,0.281
Games,4.08,1,0.385
Tools,24.32,11,0.581
Computers,90.74,3,0.346
Toys,7.15,11,0.54
Movies,37.48,6,0.366
Electronics,12.02,6,0.307
Industrial,88.32,5,0.872
Grocery,40.32,8,0.391
Toys,3.46,6,0.784
Sports,41.27,10,0.235
Home,27.0,20,0.126
Computers,65.42,5,0.848
Industrial,62.39,17,0.172
Books,43.87,1,0.839
Music,59.58,6,0.28
Sports,27.68,7,0.396
Toys,53.82,1,0.64
Tools,14.07,15,0.457
Sports,41.09,15,0.747
Automotive,68.64,10,0.884
Industrial,55.01,18,0.771
Music,7.14,18,0.861
Garden,85.32,2,0.503
Shoes,58.26,14,0.053
Industrial,91.02,8,0.102
Computers,44.68,11,0.582
Automotive,28.73,3,0.443
Shoes,46.96,1,0.094
Garden,95.61,5,0.257
Shoes,73.84,8,0.786
Grocery,15.82,2,0.174
Electronics,27.77,4,0.703
Computers,28.16,4,0.81
Shoes,97.41,2,0.376
Clothing,21.43,26,0.795
Books,87.87,17,0.81
Computers,76.08,11,0.081
Computers,99.18,4,0.715
Computers,74.49,1,0.334
Garden,22.97,5,0.863
Tools,38.01,8,0.326
Games,69.76,7,0.523
Toys,42.8,9,0.89
Computers,61.77,11,0.079
Music,11.31,6,0.714
Computers,24.41,6,0.488
Sports,47.1,1,0.881
Health,84.46,2,0.453
Toys,96.6,3,0.451
Industrial,58.56,4,0.219
Sports,80.96,7,0.598
Computers,13.91,10,0.892
Computers,76.1,3,0.253
Books,28.23,1,0.461
Music,40.7,8,0.62
Industrial,55.17,6,0.096
Clothing,70.32,14,0.651
Health,92.79,1,0.846
Electronics,22.7,8,0.259
Outdoors,21.47,7,0.839
Home,93.38,10,0.5
Home,53.14,10,0.34
Clothing,28.69,15,0.734
Music,90.61,10,0.473
Toys,40.27,12,0.392
Health,81.46,7,0.835
Shoes,45.54,11,0.407
Electronics,33.89,3,0.097
Health,54.04,12,0.1
Tools,55.76,13,0.254
Books,42.21,8,0.355
Computers,66.94,13,0.286
Electronics,39.24,16,0.585
Computers,49.1,2,0.152
Automotive,20.02,3,0.194
Outdoors,35.81,17,0.315
